"(486322.26969232317, 6802067.638939995)","(485847.49834592105, 6800464.057573463)","(486534.2220302039, 6801408.854794172)","(485870.32606018544, 6800602.398438702)","(482835.6193676697, 6802804.849635926)"
"(486399.86566057533, 6801987.36020185)","(485724.10345465754, 6800387.6508304635)","(486675.61226413463, 6801449.863884614)","(485817.15559855575, 6800513.205020158)","(482959.6335719251, 6802892.227685325)"
"(486498.0542065447, 6801980.613671713)","(485582.1455465939, 6800348.646569227)","(486823.58193365723, 6801450.379943983)","(485801.17822913197, 6800422.913423151)","(483009.2658931627, 6802990.958260737)"
"(486631.49707451725, 6801987.258603202)","(485443.7537498245, 6800296.195275148)","(486972.0811771823, 6801432.600623868)","(485695.02800688095, 6800442.260134875)","(482921.7147425192, 6803115.041791016)"
"(486773.4711483977, 6801945.698639737)","(485313.51709918655, 6800260.197236284)","(487120.7624860334, 6801416.510689963)","(485629.1141677602, 6800567.023957962)","(482843.2687091891, 6803238.437255248)"
"(486914.24133654125, 6801893.271624535)","(485337.5936038944, 6800304.627001073)","(487269.2837534864, 6801398.9173109215)","(485503.69232240407, 6800542.280636055)","(482873.74864858005, 6803346.4849090455)"
"(487055.5750763838, 6801842.295767654)","(486994.98687566986, 6801600.280082232)","(487417.19756101404, 6801377.25820078)","(485435.72423705924, 6800674.925124272)","(482997.57915429684, 6803434.390453582)"
"(487194.0927446155, 6801787.320820817)","(486985.8171718691, 6801581.464092893)","(487562.3326243006, 6801341.317337384)","(485353.9142929732, 6800799.760244536)","(483120.81256123516, 6803523.134207614)"
"(487325.9691245461, 6801716.063869196)","(486994.98687566986, 6801600.280082232)","(487697.47640695184, 6801292.362593114)","(485244.96346285474, 6800800.932689714)","(482780.57732336095, 6803899.223976741)"
"(487452.6703051669, 6801635.334130861)","(486985.8171718691, 6801581.464092893)","(487787.60155038023, 6801189.826706961)","(485153.8113572031, 6800858.603253765)","(482839.9423540146, 6800721.272667667)"
"(487576.9685339951, 6801551.177838289)","(486994.98687566986, 6801600.280082232)","(487862.64881302026, 6801060.812543899)","(485036.0657977569, 6800773.929988891)","(482893.73836662894, 6800794.95157544)"
"(487667.96723456273, 6801432.163043082)","(486985.8171718691, 6801581.464092893)","(487943.5041583696, 6800935.138580465)","(484917.87063032534, 6800682.887000933)","(482967.5863307706, 6800665.564149743)"
"(487696.5105838963, 6801297.733344942)","(486994.98687566986, 6801600.280082232)","(488031.0058461269, 6800814.264663305)","(484798.97073615494, 6800593.150841299)","(483042.52047157893, 6800543.13054884)"
"(487785.7119192587, 6801194.211671523)","(486985.8171718691, 6801581.464092893)","(488104.70718234923, 6800684.14267499)","(484672.94694652944, 6800520.6995012555)","(483174.70222909586, 6800611.85873608)"
"(487860.4281903145, 6801064.250398072)","(486994.98687566986, 6801600.280082232)","(488156.9771895571, 6800544.010214059)","(484556.47256662697, 6800476.683675925)","(483304.3570849808, 6800684.95697093)"
"(487942.34590804076, 6800938.302209856)","(486985.8171718691, 6801581.464092893)","(488195.2860608262, 6800399.500436579)","(484432.4068303616, 6800393.807877359)","(483352.63981605036, 6800677.615172666)"
"(488029.65738867765, 6800816.636605516)","(486994.98687566986, 6801600.280082232)","(488232.38093948073, 6800254.610028898)","(484296.1204193669, 6800333.699971188)","(483443.5277650448, 6800597.154559472)"
"(488103.9119276151, 6800686.022565498)","(486985.8171718691, 6801581.464092893)","(488090.5576878842, 6800304.798797702)","(484155.8776578916, 6800322.432030224)","(483450.0009930222, 6800620.890899831)"
"(488156.50041509565, 6800545.288415118)","(486994.98687566986, 6801600.280082232)","(484359.93207715324, 6801234.021418659)","(484075.2992711439, 6800401.36138999)","(483450.0009930222, 6800620.890899831)"
"(488195.11688263266, 6800400.161236622)","(486985.8171718691, 6801581.464092893)","(484335.1227769452, 6801230.658056282)","(484139.252643101, 6800400.0076801665)","(482839.9423540146, 6800721.272667667)"
"(488232.38093948073, 6800254.610028898)","(486994.98687566986, 6801600.280082232)","(484359.93207715324, 6801234.021418659)","(485870.32606018544, 6800602.398438702)","(482893.73836662894, 6800794.95157544)"
"(488090.5576878842, 6800304.798797702)","(486909.7758223352, 6801646.161782862)","(484335.1227769452, 6801230.658056282)","(485806.77140274545, 6800508.626005061)","(482967.5863307706, 6800665.564149743)"
"(484089.8264646924, 6802370.62933042)","(486909.5157706387, 6801523.873102312)","(484359.93207715324, 6801234.021418659)","(485780.8929054946, 6800412.738909578)","(483042.52047157893, 6800543.13054884)"
"(483983.3109593851, 6802326.983647524)","(486891.069968712, 6801514.514762522)","(484343.74778357113, 6801122.623436566)","(485668.6262748171, 6800440.581123736)","(483174.70222909586, 6800611.85873608)"
"(483922.3432145619, 6802183.764011031)","(486994.98687566986, 6801600.280082232)","(484280.4760103393, 6801020.679244869)","(485644.08470442414, 6800448.347405804)","(483304.3570849808, 6800684.95697093)"
"(483853.873672007, 6802051.973098722)","(486906.1280241233, 6801643.900137138)","(484187.67629709974, 6801124.036742199)","(485870.32606018544, 6800602.398438702)","(483352.63981605036, 6800677.615172666)"
"(483838.2636847507, 6802050.122166033)","(486780.2385477032, 6801563.812359102)","(484228.98629903886, 6801161.970029954)","(485846.35608732485, 6800526.299188967)","(483443.5277650448, 6800597.154559472)"
"(484089.8264646924, 6802370.62933042)","(486661.69628194545, 6801495.461383426)","(484359.93207715324, 6801234.021418659)","(485954.7367982981, 6800501.622769156)","(483450.0009930222, 6800620.890899831)"
"(484182.5420272897, 6802300.338242675)","(486548.32791495894, 6801415.614481833)","(484335.1227769452, 6801230.658056282)","(485992.6872720469, 6800421.139225998)","(482839.9423540146, 6800721.272667667)"
