id,owner,device,timestamp,cellinfo.wgs84.lon,cellinfo.wgs84.lat,cellinfo.azimuth_degrees,cell
82,AgentK,K_2,2023-05-01 00:24:09,4.367075846877175,51.98436404193879,250,0-0-0
83,AgentL,L_1,2023-05-01 00:24:09,4.345045579506649,51.98516872171841,240,0-0-0
84,AgentM,M_2,2023-05-01 00:24:32,4.3381867139841965,51.997701092782705,300,0-0-0
85,AgentC,C_1,2023-05-01 00:24:55,4.3530496140647505,52.013077609082096,150,0-0-0
86,AgentO,O_2,2023-05-01 00:24:55,4.3497636751020305,52.00588464056726,210,0-0-0
87,AgentJ,J_2,2023-05-01 00:25:18,4.366390654673757,51.99464126281873,240,0-0-0
88,AgentM,M_2,2023-05-01 00:25:18,4.3381867139841965,51.997701092782705,300,0-0-0
89,AgentC,C_2,2023-05-01 00:25:41,4.3530496140647505,52.013077609082096,150,0-0-0
90,AgentO,O_2,2023-05-01 00:26:27,4.3497636751020305,52.00588464056726,210,0-0-0
91,AgentF,F_1,2023-05-01 00:26:50,4.343948528788537,52.018561346495936,260,0-0-0
92,AgentE,E_1,2023-05-01 00:27:13,4.3458253171449615,51.99296892005271,120,0-0-0
93,AgentE,E_2,2023-05-01 00:27:13,4.3458253171449615,51.99296892005271,120,0-0-0
94,AgentE,E_2,2023-05-01 00:27:36,4.3458253171449615,51.99296892005271,120,0-0-0
95,AgentE,E_1,2023-05-01 00:27:59,4.3458253171449615,51.99296892005271,120,0-0-0
96,AgentF,F_2,2023-05-01 00:27:59,4.343948528788537,52.018561346495936,260,0-0-0
97,AgentE,E_2,2023-05-01 00:29:08,4.3458253171449615,51.99296892005271,120,0-0-0
98,AgentF,F_2,2023-05-01 00:29:08,4.343948528788537,52.018561346495936,260,0-0-0
99,AgentN,N_2,2023-05-01 00:29:31,4.354546234187175,51.98921655191236,120,0-0-0
100,AgentP,P_2,2023-05-01 00:29:31,4.356550142366685,51.996416163037686,50,0-0-0
101,AgentN,N_1,2023-05-01 00:29:54,4.354546234187175,51.98921655191236,120,0-0-0
102,AgentQ,Q_1,2023-05-01 00:29:54,4.331826600915831,52.00559032961253,130,0-0-0
103,AgentS,S_2,2023-05-01 00:29:54,4.3530496140647505,52.013077609082096,250,0-0-0
104,AgentG,G_2,2023-05-01 00:30:17,4.3530496140647505,52.013077609082096,30,0-0-0
105,AgentT,T_2,2023-05-01 00:30:17,4.343948528788537,52.018561346495936,260,0-0-0
106,AgentC,C_2,2023-05-01 00:31:26,4.3530496140647505,52.013077609082096,150,0-0-0
107,AgentF,F_1,2023-05-01 00:31:26,4.343948528788537,52.018561346495936,260,0-0-0
108,AgentF,F_2,2023-05-01 00:31:26,4.343948528788537,52.018561346495936,260,0-0-0
109,AgentJ,J_1,2023-05-01 00:31:26,4.366390654673757,51.99464126281873,240,0-0-0
110,AgentA,A_2,2023-05-01 00:31:49,4.355013007950339,52.01068585398698,110,0-0-0
111,AgentB,B_2,2023-05-01 00:32:35,4.330403173897175,51.991213434504516,80,0-0-0
112,AgentL,L_1,2023-05-01 00:33:21,4.345045579506649,51.98516872171841,240,0-0-0
113,AgentM,M_2,2023-05-01 00:33:21,4.3381867139841965,51.997701092782705,300,0-0-0
114,AgentR,R_2,2023-05-01 00:33:21,4.356550142366685,51.996416163037686,300,0-0-0
115,AgentC,C_1,2023-05-01 00:33:44,4.3530496140647505,52.013077609082096,150,0-0-0
116,AgentF,F_1,2023-05-01 00:33:44,4.343948528788537,52.018561346495936,260,0-0-0
117,AgentG,G_1,2023-05-01 00:33:44,4.3530496140647505,52.013077609082096,30,0-0-0
118,AgentP,P_2,2023-05-01 00:33:44,4.356550142366685,51.996416163037686,50,0-0-0
119,AgentM,M_2,2023-05-01 00:34:07,4.3381867139841965,51.997701092782705,300,0-0-0
120,AgentG,G_1,2023-05-01 00:35:39,4.3530496140647505,52.013077609082096,30,0-0-0
121,AgentK,K_1,2023-05-01 00:35:39,4.367075846877175,51.98436404193879,250,0-0-0
122,AgentN,N_2,2023-05-01 00:35:39,4.354546234187175,51.98921655191236,120,0-0-0
